中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.139.160,443,192.9.139.160,US,San Jose,中转,22 ms,697 Mbps,89292 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,19 ms,1176 Mbps,150528 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,8 ms,464 Mbps,59494 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,19 ms,824 Mbps,105472 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,22 ms,904 Mbps,115712 kB/s
129.159.84.71,443,129.159.84.71,US,Miami,中转,57 ms,4 Mbps,526 kB/s
35.230.79.26,443,35.212.217.120,US,Seattle,隧道,37 ms,552 Mbps,70656 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,40 ms,614 Mbps,78643 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,58 ms,372 Mbps,47718 kB/s
35.197.23.75,443,35.212.217.120,US,Seattle,隧道,40 ms,544 Mbps,69632 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,112 ms,214 Mbps,27443 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,122 ms,48 Mbps,6183 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,117 ms,25 Mbps,3228 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,121 ms,47 Mbps,6123 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,149 ms,143 Mbps,18329 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,145 ms,140 Mbps,18022 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,149 ms,164 Mbps,20992 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,134 ms,43 Mbps,5576 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,170 ms,13 Mbps,1774 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,188 ms,41 Mbps,5274 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,183 ms,7 Mbps,986 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,191 ms,68 Mbps,8830 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,191 ms,40 Mbps,5213 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,146 ms,38 Mbps,4926 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,134 ms,49 Mbps,6321 kB/s
