中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,63 ms,490 Mbps,62771 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,28 ms,56 Mbps,7191 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,31 ms,63 Mbps,8126 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,23 ms,1112 Mbps,142336 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,17 ms,504 Mbps,64512 kB/s
35.230.79.26,443,35.212.227.11,US,Seattle,隧道,60 ms,444 Mbps,56934 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,55 ms,399 Mbps,51097 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,61 ms,527 Mbps,67481 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,64 ms,179 Mbps,22937 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,106 ms,209 Mbps,26828 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,149 ms,185 Mbps,23756 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,79 ms,411 Mbps,52633 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,85 ms,303 Mbps,38809 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,25 ms,43 Mbps,5605 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,52 ms,441 Mbps,56524 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,106 ms,41 Mbps,5363 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,51 ms,5 Mbps,697 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,114 ms,36 Mbps,4627 kB/s
35.197.23.75,443,35.212.227.11,US,Seattle,隧道,64 ms,475 Mbps,60825 kB/s
143.47.244.160,443,2a0b:21c0:100a:1b1:0:39a0:cdd:d0a1,DE,Frankfurt,隧道,130 ms,142 Mbps,18227 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,131 ms,173 Mbps,22220 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,19 ms,43 Mbps,5513 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,63 ms,524 Mbps,67072 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,57 ms,395 Mbps,50585 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,85 ms,48 Mbps,6225 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,131 ms,181 Mbps,23244 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,26 ms,89 Mbps,11468 kB/s
193.123.57.244,443,98.98.156.18,DE,Frankfurt,隧道,125 ms,164 Mbps,21094 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,114 ms,212 Mbps,27238 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,167 ms,128 Mbps,16486 kB/s
143.47.240.79,443,98.98.166.186,US,Frankfurt,隧道,142 ms,168 Mbps,21504 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,106 ms,209 Mbps,26828 kB/s
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,183 ms,108 Mbps,13824 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,132 ms,29 Mbps,3832 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,128 ms,45 Mbps,5860 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,134 ms,49 Mbps,6387 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,121 ms,188 Mbps,24166 kB/s
144.24.252.15,443,144.24.252.15,CH,Zurich,中转,148 ms,47 Mbps,6034 kB/s
47.90.141.204,443,91.149.239.70,US,Los Angeles,隧道,28 ms,27 Mbps,3472 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,228 ms,2 Mbps,340 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,52 ms,22 Mbps,2860 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,122 ms,46 Mbps,5899 kB/s
144.22.252.124,443,144.22.252.124,BR,S
