中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,16 ms,292 Mbps,37478 kB/s
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,41 ms,606 Mbps,77619 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,37 ms,591 Mbps,75673 kB/s
35.197.23.75,443,35.212.212.40,US,Seattle,隧道,37 ms,259 Mbps,33177 kB/s
35.230.79.26,443,35.212.212.40,US,Seattle,隧道,39 ms,612 Mbps,78336 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,38 ms,494 Mbps,63283 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,62 ms,43 Mbps,5511 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,22 ms,783 Mbps,100249 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,63 ms,360 Mbps,46080 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,109 ms,167 Mbps,21401 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,116 ms,43 Mbps,5521 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,116 ms,39 Mbps,4995 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,150 ms,175 Mbps,22425 kB/s
132.226.134.15,443,2606:f240:f00:a683:0:2509:ff11:37b7,DE,Frankfurt,隧道,137 ms,132 Mbps,16998 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,131 ms,43 Mbps,5588 kB/s
143.47.176.251,443,163.123.193.7,DE,Frankfurt,隧道,134 ms,142 Mbps,18227 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,137 ms,47 Mbps,6096 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,155 ms,44 Mbps,5701 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,160 ms,12 Mbps,1560 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,162 ms,29 Mbps,3775 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,177 ms,0 Mbps,2 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,176 ms,38 Mbps,4923 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,137 ms,38 Mbps,4940 kB/s
129.159.84.71,443,129.159.84.71,US,Chicago,中转,132 ms,1 Mbps,165 kB/s
