中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.254.51,443,198.23.254.51,US,San Jose,中转,21 ms,661 Mbps,84684 kB/s
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,46 ms,581 Mbps,74444 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,9 ms,468 Mbps,59904 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,19 ms,1280 Mbps,163840 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,16 ms,872 Mbps,111616 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,37 ms,528 Mbps,67584 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,57 ms,468 Mbps,60006 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,53 ms,425 Mbps,54476 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,43 ms,443 Mbps,56729 kB/s
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,40 ms,484 Mbps,61952 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,118 ms,44 Mbps,5658 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,64 ms,205 Mbps,26316 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,116 ms,2 Mbps,314 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,110 ms,216 Mbps,27648 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,152 ms,117 Mbps,15052 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,121 ms,196 Mbps,25088 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,163 ms,132 Mbps,16896 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,140 ms,128 Mbps,16384 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,116 ms,43 Mbps,5568 kB/s
143.47.252.60,443,98.98.166.174,DE,Frankfurt,隧道,146 ms,132 Mbps,16896 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,142 ms,39 Mbps,5063 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,164 ms,33 Mbps,4314 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,155 ms,33 Mbps,4330 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,150 ms,180 Mbps,23040 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,152 ms,43 Mbps,5620 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,157 ms,150 Mbps,19251 kB/s
158.101.201.244,443,2a0b:21c0:1007:1c8:0:638:137b:4b65,DE,Frankfurt,隧道,147 ms,146 Mbps,18739 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,166 ms,41 Mbps,5363 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,191 ms,88 Mbps,11264 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,182 ms,32 Mbps,4110 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,183 ms,4 Mbps,578 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,210 ms,0 Mbps,28 kB/s
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,162 ms,1 Mbps,241 kB/s
