中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,14 ms,848 Mbps,108544 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,62 ms,395 Mbps,50585 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,46 ms,10 Mbps,1342 kB/s
35.230.79.26,443,35.212.241.9,US,Seattle,隧道,49 ms,462 Mbps,59187 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,49 ms,394 Mbps,50483 kB/s
34.82.76.253,443,34.168.69.6,US,Seattle,隧道,49 ms,448 Mbps,57446 kB/s
35.197.23.75,443,35.212.241.9,US,Seattle,隧道,50 ms,517 Mbps,66252 kB/s
129.159.84.71,443,129.159.84.71,US,Newark,中转,23 ms,7 Mbps,916 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,48 ms,520 Mbps,66662 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,104 ms,47 Mbps,6137 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,118 ms,155 Mbps,19865 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,114 ms,47 Mbps,6084 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,109 ms,46 Mbps,5931 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,149 ms,42 Mbps,5391 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,150 ms,160 Mbps,20582 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,153 ms,39 Mbps,5005 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,203 ms,42 Mbps,5429 kB/s
168.138.165.174,443,168.138.165.174,SG,Tokyo,中转,211 ms,32 Mbps,4206 kB/s
