中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,26 ms,582 Mbps,74547 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,67 ms,260 Mbps,33280 kB/s
35.230.79.26,443,35.212.232.22,US,Seattle,隧道,69 ms,349 Mbps,44748 kB/s
35.197.23.75,443,35.212.232.22,US,Seattle,隧道,72 ms,404 Mbps,51814 kB/s
23.94.43.51,443,23.94.43.51,US,Portland,中转,73 ms,283 Mbps,36249 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,103 ms,222 Mbps,28467 kB/s
34.82.76.253,443,34.83.144.186,US,Seattle,隧道,75 ms,355 Mbps,45465 kB/s
184.169.181.217,443,184.169.181.217,US,Columbus,中转,59 ms,319 Mbps,40857 kB/s
129.146.209.97,443,129.146.209.97,US,Miami,中转,53 ms,385 Mbps,49356 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,100 ms,264 Mbps,33894 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,119 ms,212 Mbps,27238 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,86 ms,44 Mbps,5677 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,94 ms,46 Mbps,6015 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,101 ms,43 Mbps,5508 kB/s
3.112.21.102,443,3.112.21.102,JP,Osaka,中转,165 ms,105 Mbps,13516 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,166 ms,39 Mbps,5063 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,168 ms,38 Mbps,4883 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,206 ms,30 Mbps,3936 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,110 ms,0 Mbps,55 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,198 ms,35 Mbps,4580 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,242 ms,38 Mbps,4955 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,293 ms,1 Mbps,208 kB/s
168.138.165.174,443,168.138.165.174,SG,Osaka,中转,233 ms,20 Mbps,2678 kB/s
168.138.212.80,443,168.138.212.80,JP,Singapore,中转,163 ms,37 Mbps,4768 kB/s
150.230.7.216,443,150.230.7.216,JP,Ashburn,中转,171 ms,37 Mbps,4859 kB/s
64.110.75.145,443,64.110.75.145,KR,Chicago,中转,209 ms,88 Mbps,11264 kB/s
