中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,51 ms,697 Mbps,89292 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,39 ms,542 Mbps,69427 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,76 ms,388 Mbps,49664 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,46 ms,570 Mbps,73011 kB/s
129.146.7.98,443,2a09:bac5:60eb:1173::1bd:9d,US,Los Angeles,隧道,35 ms,55 Mbps,7085 kB/s
35.230.79.26,443,35.212.254.121,US,Seattle,隧道,53 ms,519 Mbps,66457 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,43 ms,691 Mbps,88473 kB/s
35.197.23.75,443,35.212.254.121,US,Seattle,隧道,58 ms,468 Mbps,60006 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,59 ms,569 Mbps,72908 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,40 ms,576 Mbps,73830 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,40 ms,56 Mbps,7265 kB/s
34.82.76.253,443,34.19.99.159,US,Seattle,隧道,52 ms,423 Mbps,54169 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,46 ms,347 Mbps,44441 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,124 ms,147 Mbps,18841 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,41 ms,50 Mbps,6511 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,121 ms,205 Mbps,26316 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,98 ms,189 Mbps,24268 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,118 ms,43 Mbps,5625 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,128 ms,200 Mbps,25600 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,116 ms,45 Mbps,5809 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,132 ms,178 Mbps,22835 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,129 ms,203 Mbps,26009 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,124 ms,50 Mbps,6493 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,144 ms,208 Mbps,26624 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,134 ms,171 Mbps,21913 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,124 ms,45 Mbps,5859 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,136 ms,46 Mbps,5898 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,127 ms,47 Mbps,6068 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,161 ms,43 Mbps,5521 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,162 ms,113 Mbps,14540 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:114,KR,Seoul,隧道,170 ms,100 Mbps,12902 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,179 ms,41 Mbps,5316 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,204 ms,2 Mbps,363 kB/s
131.186.25.247,443,107.151.176.166,US,Los Angeles,隧道,181 ms,107 Mbps,13721 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,201 ms,38 Mbps,4950 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,180 ms,37 Mbps,4799 kB/s
130.162.144.191,443,2a09:bac5:4737:155::22:119,KR,Seoul,隧道,173 ms,36 Mbps,4666 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,203 ms,35 Mbps,4525 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,233 ms,74 Mbps,9578 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,215 ms,3 Mbps,470 kB/s
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,178 ms,1 Mbps,182 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,188 ms,11 Mbps,1408 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,226 ms,54 Mbps,6944 kB/s
193.123.80.245,443,193.123.80.245,AE,Paris,中转,236 ms,26 Mbps,3362 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,294 ms,0 Mbps,18 kB/s
