中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,2 ms,6 Mbps,883 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,20 ms,824 Mbps,105472 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,67 ms,318 Mbps,40755 kB/s
35.230.79.26,443,35.212.238.81,US,Seattle,隧道,69 ms,296 Mbps,37990 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,76 ms,278 Mbps,35635 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,68 ms,309 Mbps,39628 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,73 ms,368 Mbps,47104 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,70 ms,320 Mbps,40960 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,99 ms,216 Mbps,27648 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,82 ms,45 Mbps,5840 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,92 ms,327 Mbps,41881 kB/s
35.197.23.75,443,35.212.238.81,US,Seattle,隧道,69 ms,197 Mbps,25292 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,91 ms,2 Mbps,325 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,112 ms,241 Mbps,30924 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,165 ms,152 Mbps,19456 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,169 ms,43 Mbps,5624 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,168 ms,8 Mbps,1089 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,204 ms,38 Mbps,4942 kB/s
8.219.179.34,443,8.222.236.107,SG,Singapore,隧道,225 ms,44 Mbps,5644 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,233 ms,0 Mbps,52 kB/s
158.180.95.219,443,2602:ffe4:407:20da:0:b24f:8cb7:8a47,SG,Singapore,隧道,249 ms,59 Mbps,7630 kB/s
