中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.197.23.75,443,35.212.128.242,US,Seattle,隧道,35 ms,550 Mbps,70451 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,37 ms,545 Mbps,69836 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,31 ms,496 Mbps,63488 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,40 ms,468 Mbps,59904 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,47 ms,789 Mbps,101068 kB/s
35.230.79.26,443,35.212.128.242,US,Seattle,隧道,35 ms,470 Mbps,60211 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,39 ms,648 Mbps,82944 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,37 ms,587 Mbps,75161 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,128 ms,49 Mbps,6349 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,130 ms,5 Mbps,719 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,122 ms,205 Mbps,26316 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,132 ms,47 Mbps,6074 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,138 ms,148 Mbps,19046 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,128 ms,46 Mbps,5890 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,141 ms,178 Mbps,22835 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,136 ms,148 Mbps,18944 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,170 ms,33 Mbps,4309 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,190 ms,38 Mbps,4940 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,135 ms,42 Mbps,5407 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,125 ms,6 Mbps,812 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,172 ms,33 Mbps,4350 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,187 ms,0 Mbps,14 kB/s
