中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,10 ms,76 Mbps,9760 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,5 ms,1640 Mbps,209920 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,12 ms,104 Mbps,13414 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,11 ms,1048 Mbps,134144 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,5 ms,597 Mbps,76492 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,25 ms,727 Mbps,93081 kB/s
35.197.23.75,443,35.212.193.165,US,Seattle,隧道,71 ms,385 Mbps,49356 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,100 ms,236 Mbps,30310 kB/s
35.230.79.26,443,35.212.193.165,US,Seattle,隧道,75 ms,403 Mbps,51609 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,66 ms,354 Mbps,45363 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,91 ms,42 Mbps,5387 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,78 ms,284 Mbps,36454 kB/s
34.82.76.253,443,34.19.99.159,US,Seattle,隧道,73 ms,240 Mbps,30720 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,86 ms,238 Mbps,30515 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,97 ms,4 Mbps,518 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,97 ms,47 Mbps,6094 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,96 ms,220 Mbps,28160 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,88 ms,46 Mbps,5978 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,100 ms,248 Mbps,31846 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,101 ms,45 Mbps,5841 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,98 ms,40 Mbps,5215 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,101 ms,289 Mbps,37068 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,101 ms,42 Mbps,5404 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,172 ms,112 Mbps,14336 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,172 ms,23 Mbps,2945 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,164 ms,37 Mbps,4821 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,173 ms,2 Mbps,378 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,199 ms,68 Mbps,8747 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,226 ms,38 Mbps,4934 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,240 ms,1 Mbps,255 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,219 ms,32 Mbps,4100 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,224 ms,36 Mbps,4648 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,206 ms,91 Mbps,11673 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,261 ms,19 Mbps,2514 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,260 ms,14 Mbps,1859 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,235 ms,3 Mbps,463 kB/s
8.219.1.169,443,8.219.1.169,SG,Hong Kong,中转,265 ms,10 Mbps,1330 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,209 ms,34 Mbps,4444 kB/s
193.123.80.245,443,193.123.80.245,AE,Frankfurt,中转,203 ms,30 Mbps,3901 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,74 ms,76 Mbps,9803 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,297 ms,0 Mbps,12 kB/s
47.57.233.126,443,47.88.10.133,US,San Jose,隧道,209 ms,0 Mbps,27 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,1080 ms,116 Mbps,14950 kB/s
130.162.144.191,443,2a09:bac1:3f20::22:11c,KR,Seoul,隧道,193 ms,34 Mbps,4407 kB/s
