中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
47.254.65.110,443,47.254.65.110,US,San Jose,中转,35 ms,1 Mbps,249 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,72 ms,32 Mbps,4160 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,46 ms,526 Mbps,67379 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,40 ms,68 Mbps,8809 kB/s
129.146.46.164,443,129.146.46.164,351 Mbps,44953 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,142 ms,132 Mbps,16896 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,46 ms,1296 Mbps,165888 kB/s
35.197.23.75,443,35.212.231.200,US,Seattle,隧道,37 ms,613 Mbps,78540 kB/s
35.230.79.26,443,35.212.231.200,US,Seattle,隧道,53 ms,587 Mbps,75161 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,28 ms,928 Mbps,118784 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,30 ms,650 Mbps,83251 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,85 ms,369 Mbps,47308 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,62 ms,494 Mbps,63283 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,60 ms,48 Mbps,6227 kB/s
129.153.203.62,443,129.153.203.62,US,Los Angeles,中转,28 ms,428 Mbps,54886 kB/s
154.23.240.232,443,154.23.240.232,US,Los Angeles,中转,13 ms,44 Mbps,5715 kB/s
34.82.76.253,443,104.198.8.26,US,Seattle,隧道,51 ms,594 Mbps,76083 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,71 ms,412 Mbps,52838 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,34 ms,440 Mbps,56320 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,159 ms,147 Mbps,18841 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,25 ms,1040 Mbps,133120 kB/s
140.238.5.32,443,140.238.5.32,KR,Seoul,中转,147 ms,29 Mbps,3777 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,125 ms,226 Mbps,28979 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,146 ms,126 Mbps,16179 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,29 ms,71 Mbps,9173 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,138 ms,155 Mbps,19865 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,81 ms,48 Mbps,6261 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,158 ms,30 Mbps,3914 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,146 ms,38 Mbps,4947 kB/s
141.147.106.160,443,163.123.193.8,DE,Frankfurt,隧道,163 ms,113 Mbps,14540 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,33 ms,58 Mbps,7537 kB/s
129.146.168.102,443,104.28.205.111,US,Los Angeles,隧道,19 ms,37 Mbps,4859 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,181 ms,201 Mbps,25804 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,111 ms,43 Mbps,5529 kB/s
130.61.23.77,443,130.61.23.77,127 Mbps,16281 kB/s
47.253.161.22,443,47.253.161.22,US,Ashburn,中转,75 ms,232 Mbps,29798 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,159 ms,46 Mbps,5993 kB/s
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,148 ms,154 Mbps,19763 kB/s
47.91.18.127,443,47.91.18.127,JP,Tokyo,中转,123 ms,169 Mbps,21708 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,149 ms,128 Mbps,16384 kB/s
158.178.238.239,443,104.28.254.47,SG,Singapore,隧道,191 ms,39 Mbps,5074 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,143 ms,39 Mbps,5002 kB/s
158.101.203.1,443,2a0b:21c0:1007:1c7:0:dd9e:1c98:ad9b,DE,Frankfurt,隧道,146 ms,135 Mbps,17305 kB/s
64.110.89.180,443,2607:a400:a:6c:0:22d3:8fcb:5717,US,Los Angeles,隧道,167 ms,133 Mbps,17100 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,175 ms,134 Mbps,17203 kB/s
146.56.168.75,443,2607:a400:a:6c:0:96b:fb99:7052,US,Los Angeles,隧道,181 ms,92 Mbps,11878 kB/s
144.21.43.21,443,2a0b:21c0:1007:c9:0:4b9d:953a:f9ba,DE,Frankfurt,隧道,137 ms,108 Mbps,13824 kB/s
