中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,229 ms,88 Mbps,11366 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,198 ms,40 Mbps,5146 kB/s
8.222.78.174,443,8.211.134.64,JP,Tokyo,隧道,238 ms,22 Mbps,2818 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,256 ms,2 Mbps,335 kB/s
8.219.240.4,443,8.219.142.198,SG,Singapore,隧道,248 ms,13 Mbps,1706 kB/s
8.222.155.241,443,8.219.96.61,SG,Singapore,隧道,233 ms,34 Mbps,4374 kB/s
8.219.244.76,443,8.219.142.198,SG,Singapore,隧道,248 ms,24 Mbps,3159 kB/s
130.162.144.191,443,2a09:bac5:4752:155::22:11d,KR,Seoul,隧道,212 ms,38 Mbps,4938 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,216 ms,35 Mbps,4595 kB/s
8.219.210.13,443,8.219.142.198,SG,Singapore,隧道,241 ms,50 Mbps,6449 kB/s
193.123.81.105,443,193.123.81.105,AE,Paris,中转,226 ms,49 Mbps,6368 kB/s
8.210.58.6,443,8.210.58.6,HK,Hong Kong,中转,269 ms,2 Mbps,327 kB/s
8.219.89.204,443,47.236.1.53,SG,Singapore,隧道,232 ms,52 Mbps,6781 kB/s
8.212.44.95,443,47.76.21.95,HK,Hong Kong,隧道,239 ms,55 Mbps,7117 kB/s
146.56.146.67,443,146.56.146.67,KR,Seoul,中转,204 ms,68 Mbps,8767 kB/s
193.123.242.38,443,2602:ffe4:407:20d9:0:4c16:7734:f37f,SG,Singapore,隧道,314 ms,29 Mbps,3793 kB/s
47.57.245.232,443,47.254.73.153,US,San Jose,隧道,264 ms,2 Mbps,331 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,233 ms,65 Mbps,8377 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,232 ms,68 Mbps,8820 kB/s
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,222 ms,38 Mbps,4882 kB/s
8.219.89.172,443,8.222.222.65,SG,Singapore,隧道,239 ms,64 Mbps,8227 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,226 ms,68 Mbps,8809 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,251 ms,29 Mbps,3761 kB/s
8.222.162.7,443,47.245.84.175,SG,Singapore,隧道,253 ms,73 Mbps,9386 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,32 ms,35 Mbps,4555 kB/s
8.218.135.92,443,8.218.135.92,HK,Hong Kong,中转,241 ms,1 Mbps,141 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,109 ms,304 Mbps,39014 kB/s
194.36.24.34,443,2a0f:5707:fa21::1,US,San Jose,隧道,101 ms,540 Mbps,69222 kB/s
152.70.214.15,443,2603:c021:c000:ba8c:5a47:c0e5:b682:31cb,BR,São Paulo,隧道,170 ms,136 Mbps,17408 kB/s
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,206 ms,37 Mbps,4782 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,149 ms,46 Mbps,5998 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,154 ms,39 Mbps,5080 kB/s
47.90.141.204,443,91.149.239.238,US,Los Angeles,隧道,65 ms,11 Mbps,1459 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,60 ms,5 Mbps,676 kB/s
8.219.120.215,443,47.245.125.52,SG,Singapore,隧道,219 ms,27 Mbps,3537 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,83 ms,49 Mbps,6363 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,194 ms,93 Mbps,11980 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,75 ms,375 Mbps,48025 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,145 ms,160 Mbps,20582 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,102 ms,50 Mbps,6439 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,204 ms,87 Mbps,11161 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,61 ms,538 Mbps,68915 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,130 ms,187 Mbps,23961 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,250 ms,80 Mbps,10240 kB/s
8.212.48.236,443,47.76.21.114,HK,Hong Kong,隧道,275 ms,63 Mbps,8187 kB/s
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,197 ms,88 Mbps,11264 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,135 ms,36 Mbps,4727 kB/s
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,154 ms,156 Mbps,19968 kB/s
