中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
3.144.191.4,443,3.144.191.4,US,Chicago,中转,24 ms,533 Mbps,68300 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,99 ms,226 Mbps,28979 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,27 ms,41 Mbps,5321 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,36 ms,641 Mbps,82124 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,94 ms,236 Mbps,30310 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,86 ms,327 Mbps,41881 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,79 ms,11 Mbps,1440 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,66 ms,390 Mbps,49971 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,98 ms,44 Mbps,5657 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,38 ms,428 Mbps,54784 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,92 ms,31 Mbps,4041 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,146 ms,253 Mbps,32460 kB/s
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,80 ms,321 Mbps,41164 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,78 ms,263 Mbps,33689 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,79 ms,385 Mbps,49356 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,106 ms,302 Mbps,38707 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,106 ms,229 Mbps,29388 kB/s
152.67.249.123,443,152.67.249.123,US,San Jose,中转,91 ms,127 Mbps,16281 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,117 ms,276 Mbps,35430 kB/s
193.122.4.221,443,2a0b:21c0:1007:c9:0:8d05:e98f:cff6,DE,Frankfurt,隧道,94 ms,216 Mbps,27648 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,70 ms,240 Mbps,30720 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,91 ms,324 Mbps,41574 kB/s
141.147.26.198,443,2a0b:21c0:100a:1b6:0:cf04:1f0:71ee,DE,Frankfurt,隧道,120 ms,115 Mbps,14745 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,96 ms,46 Mbps,5929 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,102 ms,51 Mbps,6619 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,127 ms,46 Mbps,6013 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,156 ms,124 Mbps,15974 kB/s
192.9.138.241,443,192.9.138.241,,colo.txt:San Jose,中转,0 ms,272 Mbps,34918 kB/s
141.147.113.61,443,2606:f240:f00:2be4:0:fbf5:2cb3:fc40,US,Frankfurt,隧道,118 ms,221 Mbps,28364 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,112 ms,204 Mbps,26112 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,86 ms,44 Mbps,5723 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,85 ms,232 Mbps,29696 kB/s
138.3.254.39,443,138.3.254.39,192 Mbps,24576 kB/s
143.47.229.149,443,2a0b:21c0:1007:1cb:0:7c1e:52b0:5198,DE,Frankfurt,隧道,101 ms,121 Mbps,15564 kB/s
141.147.93.72,443,163.123.193.8,DE,Frankfurt,隧道,97 ms,212 Mbps,27136 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,209 ms,0 Mbps,116 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,101 ms,244 Mbps,31334 kB/s
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,114 ms,49 Mbps,6286 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,183 ms,87 Mbps,11161 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,81 ms,20 Mbps,2576 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,86 ms,0 Mbps,48 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,115 ms,268 Mbps,34304 kB/s
129.159.22.4,443,129.159.22.4,IN,Chennai,中转,241 ms,32 Mbps,4120 kB/s
