中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,6 ms,3 Mbps,386 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,18 ms,808 Mbps,103424 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,53 ms,364 Mbps,46694 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,64 ms,290 Mbps,37171 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,62 ms,390 Mbps,49971 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,78 ms,300 Mbps,38502 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,77 ms,321 Mbps,41164 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,68 ms,347 Mbps,44441 kB/s
35.197.23.75,443,35.212.174.187,US,Seattle,隧道,75 ms,359 Mbps,45977 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,75 ms,340 Mbps,43622 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,89 ms,241 Mbps,30924 kB/s
35.230.79.26,443,35.212.174.187,US,Seattle,隧道,73 ms,355 Mbps,45465 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,70 ms,402 Mbps,51507 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,74 ms,291 Mbps,37273 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,98 ms,276 Mbps,35430 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,86 ms,45 Mbps,5790 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,95 ms,228 Mbps,29184 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,95 ms,42 Mbps,5451 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,166 ms,112 Mbps,14336 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,196 ms,33 Mbps,4330 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,170 ms,36 Mbps,4660 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,185 ms,35 Mbps,4588 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,232 ms,63 Mbps,8078 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,235 ms,32 Mbps,4204 kB/s
