中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,246 ms,72 Mbps,9315 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,245 ms,80 Mbps,10240 kB/s
8.219.140.157,443,8.222.222.65,SG,Singapore,隧道,264 ms,50 Mbps,6409 kB/s
150.230.63.93,443,150.230.63.93,31 Mbps,4006 kB/s
150.230.63.93,JP,null Mbps,null kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,118 ms,205 Mbps,26316 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,128 ms,44 Mbps,5726 kB/s
155.248.175.87,443,2602:ffe4:407:20d9:0:b8f7:1b36:6e33,SG,Singapore,隧道,234 ms,49 Mbps,6381 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,107 ms,232 Mbps,29696 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,187 ms,64 Mbps,8297 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,123 ms,102 Mbps,13107 kB/s
141.147.28.1,443,98.98.166.178,US,Frankfurt,隧道,103 ms,228 Mbps,29286 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,206 ms,36 Mbps,4633 kB/s
141.147.15.114,443,2a0b:21c0:1007:1c7:0:d8a7:9939:c02,DE,Frankfurt,隧道,114 ms,140 Mbps,17920 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,252 ms,4 Mbps,610 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,226 ms,2 Mbps,286 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,99 ms,18 Mbps,2331 kB/s
193.123.39.134,443,2a0b:21c0:1007:1ca:0:f91a:c46:2373,DE,Frankfurt,隧道,104 ms,172 Mbps,22118 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,245 ms,37 Mbps,4813 kB/s
8.222.222.152,443,47.236.51.143,SG,Singapore,隧道,241 ms,30 Mbps,3964 kB/s
149.129.8.215,443,47.88.8.186,,San Jose,隧道,0 ms,0 Mbps,11 kB/s
8.222.205.210,443,47.245.125.52,SG,Singapore,隧道,257 ms,58 Mbps,7461 kB/s
132.226.236.15,443,2602:ffe4:407:21d9:0:3f19:55e7:bfbc,SG,Singapore,隧道,297 ms,36 Mbps,4702 kB/s
47.245.96.7,443,47.236.51.143,SG,Singapore,隧道,281 ms,51 Mbps,6654 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:138,KR,Seoul,隧道,233 ms,78 Mbps,9987 kB/s
144.22.252.124,443,144.22.252.124,BR,S
