中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,53 ms,377 Mbps,48332 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,18 ms,562 Mbps,71987 kB/s
35.197.23.75,443,35.212.156.18,US,Seattle,隧道,52 ms,486 Mbps,62259 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,16 ms,403 Mbps,51609 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,17 ms,716 Mbps,91648 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,115 ms,239 Mbps,30617 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,89 ms,459 Mbps,58777 kB/s
35.230.79.26,443,35.212.156.18,US,Seattle,隧道,64 ms,533 Mbps,68300 kB/s
129.146.46.164,443,129.146.46.164,344 Mbps,44134 kB/s
34.82.76.253,443,34.83.80.46,US,Seattle,隧道,48 ms,490 Mbps,62771 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,139 ms,199 Mbps,25497 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,68 ms,313 Mbps,40140 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,132 ms,183 Mbps,23449 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,72 ms,504 Mbps,64614 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,18 ms,102 Mbps,13107 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,65 ms,469 Mbps,60108 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,114 ms,49 Mbps,6306 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,43 ms,11 Mbps,1473 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,105 ms,48 Mbps,6149 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,132 ms,204 Mbps,26112 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,68 ms,438 Mbps,56115 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,137 ms,45 Mbps,5764 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,118 ms,47 Mbps,6131 kB/s
47.90.141.204,443,91.149.239.206,US,Los Angeles,隧道,31 ms,8 Mbps,1110 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,53 ms,54 Mbps,7038 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,59 ms,284 Mbps,36352 kB/s
192.9.146.103,443,192.9.146.103,US,San Jose,中转,66 ms,376 Mbps,48128 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,151 ms,134 Mbps,17203 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,140 ms,22 Mbps,2846 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,134 ms,172 Mbps,22016 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,181 ms,113 Mbps,14540 kB/s
130.162.166.152,443,2606:f240:f00:5a42:0:3d2b:b15a:c003,US,Frankfurt,隧道,123 ms,169 Mbps,21708 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,64 ms,300 Mbps,38502 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,135 ms,285 Mbps,36556 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,201 ms,1 Mbps,254 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,73 ms,504 Mbps,64614 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,121 ms,74 Mbps,9558 kB/s
130.162.231.200,443,2a0b:21c0:100a:1b6:0:7cb2:3b15:3a5,DE,Frankfurt,隧道,131 ms,187 Mbps,23961 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,127 ms,50 Mbps,6469 kB/s
155.248.196.123,443,155.248.196.123,US,Toronto,中转,49 ms,48 Mbps,6177 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,120 ms,45 Mbps,5776 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,138 ms,39 Mbps,5061 kB/s
8.212.48.236,443,47.76.21.103,HK,Hong Kong,隧道,241 ms,63 Mbps,8186 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,211 ms,82 Mbps,10547 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,159 ms,144 Mbps,18432 kB/s
64.110.89.92,443,64.110.89.92,KR,Seoul,中转,206 ms,36 Mbps,4725 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,127 ms,41 Mbps,5354 kB/s
146.56.188.113,443,146.56.188.113,KR,Seoul,中转,199 ms,34 Mbps,4472 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,220 ms,33 Mbps,4306 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,232 ms,78 Mbps,10035 kB/s
158.180.88.31,443,2602:ffe4:407:20da:0:e946:ff8:fdc,SG,Singapore,隧道,249 ms,61 Mbps,7918 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:105,KR,Seoul,隧道,232 ms,66 Mbps,8524 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,260 ms,35 Mbps,4584 kB/s
8.219.192.155,443,8.222.210.246,SG,Singapore,隧道,261 ms,50 Mbps,6435 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,244 ms,60 Mbps,7715 kB/s
152.70.71.23,443,152.70.71.23,IN,Marseille,中转,233 ms,32 Mbps,4147 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,186 ms,96 Mbps,12288 kB/s
130.162.144.191,443,2a09:bac1:3f20::22:13d,KR,Seoul,隧道,218 ms,36 Mbps,4624 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,235 ms,38 Mbps,4864 kB/s
158.101.141.253,443,158.101.141.253,JP,Tokyo,中转,220 ms,56 Mbps,7193 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,208 ms,36 Mbps,4667 kB/s
8.219.63.239,443,8.219.142.198,SG,Singapore,隧道,255 ms,5 Mbps,687 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,243 ms,10 Mbps,1300 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,246 ms,83 Mbps,10649 kB/s
8.212.44.95,443,47.76.21.105,HK,Hong Kong,隧道,237 ms,74 Mbps,9543 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,240 ms,37 Mbps,4774 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,188 ms,0 Mbps,83 kB/s
129.151.148.35,443,129.151.148.35,AE,Amsterdam,中转,218 ms,30 Mbps,3869 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,235 ms,49 Mbps,6397 kB/s
193.123.80.245,443,193.123.80.245,AE,Amsterdam,中转,247 ms,32 Mbps,4208 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,376 ms,0 Mbps,10 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,104 ms,43 Mbps,5538 kB/s
47.57.233.126,443,47.89.252.205,US,San Jose,隧道,230 ms,0 Mbps,25 kB/s
