中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,16 ms,4 Mbps,571 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,48 ms,600 Mbps,76902 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,8 ms,80 Mbps,10240 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,20 ms,94 Mbps,12083 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,98 ms,46 Mbps,5967 kB/s
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,102 ms,135 Mbps,17305 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,100 ms,40 Mbps,5212 kB/s
141.148.239.46,443,2606:f240:f00:46c4:0:1222:ba6f:8277,US,Frankfurt,隧道,90 ms,117 Mbps,15052 kB/s
35.197.23.75,443,35.212.231.200,US,Seattle,隧道,90 ms,371 Mbps,47513 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,49 ms,555 Mbps,71065 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,76 ms,161 Mbps,20684 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,80 ms,312 Mbps,40038 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,78 ms,470 Mbps,60211 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,111 ms,244 Mbps,31232 kB/s
130.61.23.77,443,130.61.23.77,DE,190 Mbps,24371 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,104 ms,235 Mbps,30105 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,28 ms,85 Mbps,10956 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,78 ms,437 Mbps,56012 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,17 ms,66 Mbps,8548 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,19 ms,31 Mbps,4020 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,111 ms,206 Mbps,26419 kB/s
144.22.252.124,443,144.22.252.124,BR,S
