中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.197.23.75,443,35.212.226.106,US,Seattle,隧道,22 ms,1000 Mbps,128000 kB/s
35.230.79.26,443,35.212.226.106,US,Seattle,隧道,29 ms,468 Mbps,59904 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,36 ms,707 Mbps,90521 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,364 Mbps,46694 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,40 ms,597 Mbps,76492 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,30 ms,408 Mbps,52326 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,12 ms,912 Mbps,116736 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,7 ms,611 Mbps,78233 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,12 ms,456 Mbps,58368 kB/s
34.82.76.253,443,34.127.34.227,US,Seattle,隧道,40 ms,764 Mbps,97894 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,80 ms,49 Mbps,6308 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,74 ms,4 Mbps,620 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,69 ms,340 Mbps,43520 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,108 ms,228 Mbps,29286 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,115 ms,50 Mbps,6421 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,177 ms,126 Mbps,16179 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,157 ms,16 Mbps,2161 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,115 ms,47 Mbps,6121 kB/s
193.123.34.7,443,2606:f240:f00:b2ed:0:b903:3043:9128,US,Frankfurt,隧道,160 ms,119 Mbps,15257 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,149 ms,1 Mbps,241 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,168 ms,126 Mbps,16179 kB/s
168.138.212.80,443,168.138.212.80,JP,Hong Kong,中转,112 ms,48 Mbps,6161 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,169 ms,44 Mbps,5637 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,148 ms,43 Mbps,5621 kB/s
143.47.185.70,443,2606:f240:f00:5a42:0:1013:c00d:82e,US,Frankfurt,隧道,185 ms,96 Mbps,12288 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,139 ms,147 Mbps,18841 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,160 ms,138 Mbps,17715 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,193 ms,0 Mbps,47 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,158 ms,33 Mbps,4264 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,159 ms,0 Mbps,67 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,136 ms,48 Mbps,6213 kB/s
