中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,11 ms,55 Mbps,7102 kB/s
129.146.7.98,443,2a09:bac5:60ef:1173::1bd:ed,US,Los Angeles,隧道,73 ms,52 Mbps,6672 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,91 ms,51 Mbps,6557 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,29 ms,715 Mbps,91545 kB/s
130.61.23.77,443,130.61.23.77,206 Mbps,26419 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,31 ms,627 Mbps,80281 kB/s
35.197.23.75,443,35.212.156.18,US,Seattle,隧道,78 ms,368 Mbps,47206 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,77 ms,438 Mbps,56115 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,71 ms,384 Mbps,49254 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,97 ms,245 Mbps,31436 kB/s
129.146.46.164,443,129.146.46.164,200 Mbps,25600 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,17 ms,775 Mbps,99225 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,96 ms,44 Mbps,5712 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,22 ms,25 Mbps,3217 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,98 ms,330 Mbps,42291 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,78 ms,336 Mbps,43110 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,99 ms,259 Mbps,33177 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,93 ms,241 Mbps,30924 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,108 ms,223 Mbps,28569 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,102 ms,258 Mbps,33075 kB/s
34.82.76.253,443,34.83.80.46,US,Seattle,隧道,97 ms,360 Mbps,46080 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,112 ms,64 Mbps,8217 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,102 ms,138 Mbps,17715 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,San Jose,隧道,79 ms,46 Mbps,5912 kB/s
47.90.141.204,443,91.149.239.70,US,Los Angeles,隧道,12 ms,40 Mbps,5175 kB/s
168.138.149.17,443,168.138.149.17,BR,S
