中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,14 ms,2 Mbps,352 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,23 ms,643 Mbps,82329 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,65 ms,353 Mbps,45260 kB/s
35.230.79.26,443,35.212.241.9,US,Seattle,隧道,63 ms,369 Mbps,47308 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,68 ms,317 Mbps,40652 kB/s
34.82.76.253,443,35.227.144.152,US,Seattle,隧道,68 ms,279 Mbps,35737 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,63 ms,446 Mbps,57139 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,63 ms,344 Mbps,44134 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,85 ms,49 Mbps,6389 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,248 Mbps,31846 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,62 ms,319 Mbps,40857 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,112 ms,236 Mbps,30208 kB/s
193.123.34.7,443,2606:f240:f00:dd8d:0:3a1f:48d8:4cde,DE,Munich,隧道,96 ms,255 Mbps,32665 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,282 Mbps,36147 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,176 ms,30 Mbps,3962 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,166 ms,122 Mbps,15667 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,97 ms,40 Mbps,5219 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,179 ms,39 Mbps,5059 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,183 ms,41 Mbps,5290 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,175 ms,34 Mbps,4429 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,178 ms,114 Mbps,14643 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,208 ms,31 Mbps,4061 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,247 ms,2 Mbps,329 kB/s
146.56.146.67,443,2602:ffe4:407:20da:0:ff11:eebf:3b0e,SG,Singapore,隧道,423 ms,13 Mbps,1704 kB/s
