中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,38 ms,451 Mbps,57753 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,5 ms,583 Mbps,74649 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,36 ms,443 Mbps,56729 kB/s
35.230.79.26,443,35.212.156.18,US,Seattle,隧道,71 ms,342 Mbps,43827 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,91 ms,214 Mbps,27443 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,13 ms,70 Mbps,8996 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,65 ms,436 Mbps,55910 kB/s
35.197.23.75,443,35.212.156.18,US,Seattle,隧道,77 ms,337 Mbps,43212 kB/s
158.101.208.175,443,2a0b:21c0:100a:1b4:0:f8d0:d155:8734,DE,Frankfurt,隧道,92 ms,234 Mbps,30003 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,81 ms,256 Mbps,32768 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,94 ms,220 Mbps,28160 kB/s
47.90.141.204,443,91.149.239.145,US,Los Angeles,隧道,12 ms,36 Mbps,4710 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,102 ms,25 Mbps,3225 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,97 ms,46 Mbps,5996 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,97 ms,46 Mbps,5920 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,90 ms,246 Mbps,31539 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,7 ms,79 Mbps,10137 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,86 ms,300 Mbps,38400 kB/s
143.47.182.90,443,2a0b:21c0:1007:1c9:0:7a8f:a068:d47a,DE,Frankfurt,隧道,109 ms,269 Mbps,34508 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,246 Mbps,31539 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,108 ms,300 Mbps,38502 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,129 ms,280 Mbps,35942 kB/s
129.146.243.241,443,129.146.243.241,US,Los Angeles,中转,61 ms,322 Mbps,41267 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,79 ms,238 Mbps,30515 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,188 ms,104 Mbps,13312 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,86 ms,255 Mbps,32665 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,95 ms,43 Mbps,5592 kB/s
192.18.134.231,443,192.18.134.231,US,Los Angeles,中转,88 ms,264 Mbps,33894 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,80 ms,46 Mbps,5970 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,87 ms,333 Mbps,42700 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,107 ms,97 Mbps,12492 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,140 ms,164 Mbps,21094 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,104 ms,43 Mbps,5516 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,117 ms,47 Mbps,6054 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,160 ms,130 Mbps,16691 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,100 ms,41 Mbps,5300 kB/s
192.9.146.103,443,192.9.146.103,US,San Jose,中转,72 ms,299 Mbps,38297 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,89 ms,43 Mbps,5509 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,86 ms,42 Mbps,5411 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,232 ms,2 Mbps,275 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,239 ms,0 Mbps,103 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,214 ms,94 Mbps,12083 kB/s
64.110.89.92,443,64.110.89.92,KR,Seoul,中转,210 ms,37 Mbps,4859 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,232 ms,69 Mbps,8899 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,230 ms,50 Mbps,6449 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,Seattle,隧道,248 ms,52 Mbps,6681 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:105,KR,Seoul,隧道,243 ms,72 Mbps,9255 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,217 ms,36 Mbps,4658 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,193 ms,84 Mbps,10854 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,200 ms,38 Mbps,4869 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,217 ms,37 Mbps,4767 kB/s
193.123.80.245,443,193.123.80.245,AE,Amsterdam,中转,206 ms,37 Mbps,4821 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,208 ms,29 Mbps,3726 kB/s
146.56.146.67,443,146.56.146.67,KR,Seoul,中转,222 ms,73 Mbps,9409 kB/s
47.57.233.126,443,47.89.252.205,US,San Jose,隧道,240 ms,1 Mbps,149 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,277 ms,39 Mbps,5077 kB/s
