中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,9 ms,712 Mbps,91136 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,50 ms,398 Mbps,50995 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,49 ms,529 Mbps,67788 kB/s
35.230.79.26,443,35.212.167.189,US,Seattle,隧道,48 ms,516 Mbps,66048 kB/s
35.197.23.75,443,35.212.167.189,US,Seattle,隧道,48 ms,456 Mbps,58470 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,55 ms,332 Mbps,42496 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,52 ms,336 Mbps,43008 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,412 Mbps,52736 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,96 ms,43 Mbps,5556 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,110 ms,196 Mbps,25190 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,114 ms,212 Mbps,27136 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,110 ms,244 Mbps,31232 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,154 ms,43 Mbps,5529 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,145 ms,47 Mbps,6054 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,116 ms,45 Mbps,5845 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,160 ms,45 Mbps,5764 kB/s
150.230.63.93,443,150.230.63.93,JP,45 Mbps,5875 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,149 ms,168 Mbps,21504 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,197 ms,37 Mbps,4829 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,253 ms,41 Mbps,5369 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,118 ms,0 Mbps,40 kB/s
