中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,23 ms,677 Mbps,86732 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,15 ms,3 Mbps,453 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,53 ms,275 Mbps,35225 kB/s
35.197.23.75,443,35.212.236.25,US,Seattle,隧道,69 ms,341 Mbps,43724 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,70 ms,300 Mbps,38502 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,63 ms,413 Mbps,52940 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,274 Mbps,35123 kB/s
35.230.79.26,443,35.212.236.25,US,Seattle,隧道,72 ms,331 Mbps,42393 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,91 ms,252 Mbps,32358 kB/s
193.123.60.41,443,163.123.193.3,DE,Munich,隧道,97 ms,230 Mbps,29491 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,69 ms,371 Mbps,47513 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,68 ms,336 Mbps,43110 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,90 ms,292 Mbps,37478 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,96 ms,48 Mbps,6214 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,94 ms,247 Mbps,31641 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,101 ms,43 Mbps,5594 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,174 ms,111 Mbps,14233 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,171 ms,41 Mbps,5251 kB/s
141.147.117.4,443,163.123.193.5,DE,Munich,隧道,96 ms,224 Mbps,28672 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,169 ms,64 Mbps,8218 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,201 ms,35 Mbps,4551 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,171 ms,43 Mbps,5523 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,198 ms,36 Mbps,4611 kB/s
