中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,10 ms,1 Mbps,248 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,18 ms,748 Mbps,95846 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,63 ms,346 Mbps,44339 kB/s
35.197.23.75,443,35.212.232.22,US,Seattle,隧道,68 ms,348 Mbps,44646 kB/s
35.230.79.26,443,35.212.232.22,US,Seattle,隧道,67 ms,362 Mbps,46387 kB/s
184.169.181.217,443,184.169.181.217,US,Seattle,中转,65 ms,406 Mbps,52019 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,72 ms,270 Mbps,34611 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,57 ms,311 Mbps,39833 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,100 ms,224 Mbps,28774 kB/s
34.82.76.253,443,34.83.144.186,US,Seattle,隧道,69 ms,359 Mbps,45977 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,95 ms,208 Mbps,26624 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,101 ms,41 Mbps,5267 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,104 ms,234 Mbps,30003 kB/s
141.147.117.4,443,2606:f240:f00:5a42:0:ed74:179f:b2c9,DE,Frankfurt,隧道,104 ms,224 Mbps,28672 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,93 ms,43 Mbps,5585 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,87 ms,40 Mbps,5178 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,168 ms,117 Mbps,15052 kB/s
129.146.7.98,443,129.146.7.98,US,London,中转,53 ms,137 Mbps,17612 kB/s
64.110.104.30,443,64.110.104.30,JP,Tokyo,中转,170 ms,37 Mbps,4806 kB/s
129.146.46.164,443,129.146.46.164,US,London,中转,199 ms,105 Mbps,13516 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,203 ms,14 Mbps,1851 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,239 ms,36 Mbps,4679 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,215 ms,31 Mbps,4059 kB/s
168.138.46.67,443,168.138.46.67,JP,Hong Kong,中转,166 ms,36 Mbps,4688 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,220 ms,33 Mbps,4249 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,243 ms,58 Mbps,7489 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,217 ms,10 Mbps,1315 kB/s
158.180.89.154,443,2602:ffe4:407:20d9:0:400:b01e:bdf0,SG,Düsseldorf,隧道,236 ms,36 Mbps,4658 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,63 ms,247 Mbps,31641 kB/s
