中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,12 ms,324 Mbps,41574 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,17 ms,1424 Mbps,182272 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,19 ms,652 Mbps,83456 kB/s
35.230.79.26,443,35.212.174.187,US,Seattle,隧道,43 ms,386 Mbps,49459 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,63 ms,404 Mbps,51712 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,54 ms,5 Mbps,763 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,41 ms,563 Mbps,72089 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,36 ms,495 Mbps,63385 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,113 ms,45 Mbps,5800 kB/s
35.197.23.75,443,35.212.174.187,US,Seattle,隧道,50 ms,306 Mbps,39219 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,110 ms,203 Mbps,26009 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,120 ms,43 Mbps,5541 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,117 ms,39 Mbps,5071 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,141 ms,149 Mbps,19148 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,149 ms,150 Mbps,19251 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,141 ms,160 Mbps,20480 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,149 ms,48 Mbps,6254 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,147 ms,41 Mbps,5320 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,191 ms,4 Mbps,516 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,148 ms,46 Mbps,6001 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,160 ms,132 Mbps,16896 kB/s
