中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,14 ms,69 Mbps,8843 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,5 ms,1184 Mbps,151552 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,25 ms,453 Mbps,58060 kB/s
35.230.79.26,443,35.212.212.40,US,Seattle,隧道,69 ms,365 Mbps,46796 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,58 ms,370 Mbps,47411 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,264 Mbps,33792 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,93 ms,224 Mbps,28672 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,66 ms,408 Mbps,52224 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,65 ms,242 Mbps,31027 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,59 ms,341 Mbps,43724 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,94 ms,214 Mbps,27443 kB/s
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,71 ms,360 Mbps,46182 kB/s
35.197.23.75,443,35.212.212.40,US,Seattle,隧道,73 ms,145 Mbps,18636 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,93 ms,304 Mbps,38912 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,94 ms,255 Mbps,32665 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,92 ms,3 Mbps,389 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,89 ms,46 Mbps,5893 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,88 ms,47 Mbps,6136 kB/s
3.112.21.102,443,3.112.21.102,JP,Osaka,中转,163 ms,127 Mbps,16281 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,169 ms,41 Mbps,5325 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,181 ms,40 Mbps,5133 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,219 ms,33 Mbps,4277 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,212 ms,40 Mbps,5150 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,226 ms,53 Mbps,6821 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,233 ms,38 Mbps,4890 kB/s
131.186.61.103,443,2602:ffe4:407:21d9:0:514a:3229:bd15,SG,Singapore,隧道,239 ms,47 Mbps,6082 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,216 ms,31 Mbps,3996 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,142 ms,0 Mbps,79 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,1009 ms,55 Mbps,7065 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,0 ms,13 Mbps,1725 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,209 ms,0 Mbps,3 kB/s
