中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Chicago,中转,24 ms,540 Mbps,69120 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,5 ms,864 Mbps,110592 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,5 ms,72 Mbps,9230 kB/s
129.146.7.98,443,2a09:bac5:60e9:78::c:3a3,US,Los Angeles,隧道,70 ms,104 Mbps,13312 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,22 ms,2 Mbps,363 kB/s
129.146.46.164,443,129.146.46.164,342 Mbps,43827 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,72 ms,237 Mbps,30412 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,97 ms,24 Mbps,3116 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,67 ms,389 Mbps,49868 kB/s
35.197.23.75,443,35.212.183.118,US,Seattle,隧道,78 ms,322 Mbps,41267 kB/s
34.82.76.253,443,34.168.86.105,US,Seattle,隧道,80 ms,268 Mbps,34406 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,105 ms,301 Mbps,38604 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,102 ms,215 Mbps,27545 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,93 ms,272 Mbps,34918 kB/s
35.230.79.26,443,35.212.183.118,US,Seattle,隧道,75 ms,262 Mbps,33587 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,85 ms,46 Mbps,5906 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,67 ms,300 Mbps,38400 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,78 ms,243 Mbps,31129 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,65 ms,327 Mbps,41881 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,95 ms,220 Mbps,28262 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,101 ms,43 Mbps,5590 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,100 ms,31 Mbps,3989 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,79 ms,267 Mbps,34201 kB/s
158.101.201.244,443,98.98.166.58,US,Frankfurt,隧道,103 ms,241 Mbps,30924 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,142 ms,139 Mbps,17817 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,92 ms,41 Mbps,5284 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,113 ms,2 Mbps,379 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,112 ms,43 Mbps,5585 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,91 ms,4 Mbps,585 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,172 ms,109 Mbps,14028 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,169 ms,165 Mbps,21196 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,124 ms,48 Mbps,6241 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,208 ms,80 Mbps,10342 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,176 ms,40 Mbps,5231 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,205 ms,101 Mbps,13004 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,250 ms,2 Mbps,321 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,221 ms,23 Mbps,3021 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,207 ms,80 Mbps,10342 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,219 ms,11 Mbps,1408 kB/s
130.162.144.191,443,2a09:bac5:4732:155::22:106,KR,Seoul,隧道,223 ms,37 Mbps,4803 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,225 ms,42 Mbps,5442 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,256 ms,20 Mbps,2615 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:102,KR,Seoul,隧道,220 ms,83 Mbps,10649 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,211 ms,38 Mbps,4972 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,238 ms,3 Mbps,497 kB/s
146.56.137.229,443,107.151.176.202,US,Los Angeles,隧道,273 ms,64 Mbps,8319 kB/s
129.154.201.153,443,2602:ffe4:407:21d9:0:129e:201b:3291,SG,Singapore,隧道,272 ms,55 Mbps,7102 kB/s
152.70.71.23,443,152.70.71.23,IN,Marseille,中转,227 ms,30 Mbps,3942 kB/s
47.57.233.126,443,47.89.252.205,US,San Jose,隧道,225 ms,2 Mbps,307 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,200 ms,7 Mbps,904 kB/s
193.123.80.245,443,193.123.80.245,AE,Marseille,中转,196 ms,31 Mbps,4007 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,9 ms,136 Mbps,17408 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,206 ms,0 Mbps,12 kB/s
