中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,139 ms,164 Mbps,20992 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,16 ms,64 Mbps,8260 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,62 ms,277 Mbps,35532 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,37 ms,832 Mbps,106496 kB/s
34.82.76.253,443,34.127.99.199,US,Seattle,隧道,52 ms,450 Mbps,57651 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,36 ms,504 Mbps,64512 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,57 ms,504 Mbps,64614 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,60 ms,427 Mbps,54681 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,23 ms,764 Mbps,97894 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,14 ms,60 Mbps,7754 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,80 ms,167 Mbps,21401 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,36 ms,62 Mbps,8043 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,131 ms,200 Mbps,25600 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,58 ms,354 Mbps,45363 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,60 ms,501 Mbps,64204 kB/s
35.197.23.75,443,35.212.201.120,US,Seattle,隧道,69 ms,532 Mbps,68198 kB/s
35.230.79.26,443,35.212.201.120,US,Seattle,隧道,57 ms,476 Mbps,61030 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,57 ms,152 Mbps,19558 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,132 ms,200 Mbps,25600 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,119 ms,117 Mbps,15052 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,89 ms,421 Mbps,53964 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,122 ms,45 Mbps,5849 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,52 ms,0 Mbps,26 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,170 ms,129 Mbps,16588 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,114 ms,30 Mbps,3901 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,102 ms,135 Mbps,17305 kB/s
168.138.149.17,443,168.138.149.17,BR,S
