中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,36 ms,511 Mbps,65433 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,4 ms,88 Mbps,11264 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,67 ms,336 Mbps,43008 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,2 ms,72 Mbps,9260 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,13 ms,723 Mbps,92569 kB/s
35.230.79.26,443,35.212.201.5,US,Seattle,隧道,70 ms,349 Mbps,44748 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,84 ms,252 Mbps,32256 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,92 ms,375 Mbps,48025 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,78 ms,330 Mbps,42291 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,80 ms,272 Mbps,34918 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,105 ms,246 Mbps,31539 kB/s
35.197.23.75,443,35.212.201.5,US,Seattle,隧道,72 ms,384 Mbps,49152 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,104 ms,244 Mbps,31232 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,21 ms,454 Mbps,58163 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,92 ms,47 Mbps,6117 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,112 ms,269 Mbps,34508 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,89 ms,258 Mbps,33075 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,107 ms,45 Mbps,5844 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,93 ms,380 Mbps,48742 kB/s
47.90.141.204,443,91.149.239.198,US,Los Angeles,隧道,7 ms,15 Mbps,2031 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,98 ms,302 Mbps,38707 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,91 ms,238 Mbps,30515 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,113 ms,47 Mbps,6016 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,109 ms,86 Mbps,11059 kB/s
158.178.147.110,443,2a0b:21c0:100a:1b1:0:d444:be53:d16b,DE,Frankfurt,隧道,94 ms,244 Mbps,31334 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,106 ms,28 Mbps,3709 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,104 ms,421 Mbps,53964 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,70 ms,341 Mbps,43724 kB/s
192.9.146.103,443,192.9.146.103,US,San Jose,中转,71 ms,300 Mbps,38502 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,245 ms,38 Mbps,4926 kB/s
168.138.149.17,443,168.138.149.17,BR,S
