中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,29 ms,650 Mbps,83251 kB/s
129.146.7.98,443,129.146.7.98,US,Phoenix,中转,50 ms,407 Mbps,52121 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,52 ms,530 Mbps,67891 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,41 ms,529 Mbps,67788 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,39 ms,5 Mbps,738 kB/s
35.197.23.75,443,35.212.176.58,US,Seattle,隧道,51 ms,279 Mbps,35737 kB/s
35.230.79.26,443,35.212.176.58,US,Seattle,隧道,50 ms,494 Mbps,63283 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,59 ms,424 Mbps,54272 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,135 ms,10 Mbps,1306 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,125 ms,148 Mbps,18944 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,112 ms,20 Mbps,2586 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,120 ms,156 Mbps,20070 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,130 ms,172 Mbps,22016 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,139 ms,36 Mbps,4629 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,123 ms,49 Mbps,6280 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,146 ms,47 Mbps,6080 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,184 ms,43 Mbps,5609 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,132 ms,42 Mbps,5440 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,247 ms,11 Mbps,1439 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,172 ms,95 Mbps,12185 kB/s
