中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.230.79.26,443,35.212.212.2,US,Seattle,隧道,49 ms,402 Mbps,51507 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,20 ms,533 Mbps,68300 kB/s
35.197.23.75,443,35.212.212.2,US,Seattle,隧道,54 ms,514 Mbps,65843 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,47 ms,560 Mbps,71680 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,60 ms,316 Mbps,40550 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,25 ms,52 Mbps,6741 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,40 ms,507 Mbps,64921 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,50 ms,252 Mbps,32256 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,40 ms,7 Mbps,922 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,69 ms,369 Mbps,47308 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,136 ms,137 Mbps,17612 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,123 ms,172 Mbps,22016 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,121 ms,156 Mbps,19968 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,113 ms,48 Mbps,6214 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,141 ms,46 Mbps,5942 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,117 ms,200 Mbps,25600 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,130 ms,46 Mbps,5938 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,148 ms,47 Mbps,6032 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,169 ms,44 Mbps,5688 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,188 ms,11 Mbps,1439 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,203 ms,11 Mbps,1413 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,221 ms,44 Mbps,5715 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,230 ms,44 Mbps,5650 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,167 ms,0 Mbps,105 kB/s
